U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.18V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;05.06.2024 17:41:57.463
40.00V;2.78V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:02.462
40.00V;2.94V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:07.461
40.00V;2.99V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:12.453
40.00V;3.00V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:17.464
40.00V;3.02V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:22.465
40.00V;3.01V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:27.451
40.00V;3.06V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:32.451
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:37.458
40.00V;3.00V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:42.457
40.00V;3.02V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:47.463
40.00V;3.04V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:52.452
40.00V;3.02V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:42:57.451
40.00V;3.02V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:02.452
40.00V;3.05V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:07.453
40.00V;3.00V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:12.463
40.00V;3.02V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:17.451
40.00V;3.02V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:22.453
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:27.459
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:32.456
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:37.451
40.00V;3.04V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:42.452
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:47.462
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:52.460
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:43:57.452
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:02.454
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:07.462
40.00V;3.02V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:12.452
40.00V;3.01V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:17.454
40.00V;3.00V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:22.464
40.00V;3.04V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:27.460
40.00V;3.00V;0.100A;0.122A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:32.455
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:37.467
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:42.454
40.00V;3.02V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:47.465
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:52.452
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:44:57.453
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:02.463
40.00V;3.01V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:07.461
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:12.456
40.00V;3.04V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:17.465
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:22.457
40.00V;3.01V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:27.458
40.00V;2.99V;0.100A;0.121A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:32.463
40.00V;2.99V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:37.462
40.00V;3.00V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:42.456
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:47.464
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:52.463
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:45:57.458
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:02.464
40.00V;2.98V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:07.457
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:12.459
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:17.463
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:22.459
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:27.467
40.00V;2.99V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:32.467
40.00V;2.99V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:37.465
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:42.460
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:47.468
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:52.465
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:46:57.464
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:02.458
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:07.463
40.00V;3.00V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:12.454
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:17.463
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:22.460
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:27.456
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:32.456
40.00V;2.97V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:37.464
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:42.468
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:47.463
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:52.465
40.00V;2.99V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:47:57.462
40.00V;3.00V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:02.461
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:07.460
40.00V;2.97V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:12.460
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:17.459
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:22.458
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:27.456
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:32.454
40.00V;2.96V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:37.458
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:42.461
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:47.456
40.00V;2.96V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:52.457
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:48:57.464
40.00V;2.96V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:02.459
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:07.456
40.00V;2.99V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:12.460
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:17.458
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:49:22.463
