Time,Temperature (C),Pressure (kPa)
2024-06-07 13:41:01.434,21.1,101.9
2024-06-07 13:41:15.683,21.1,101.9
2024-06-07 13:41:30.393,21.2,101.9
2024-06-07 13:41:45.440,21.1,101.9
2024-06-07 13:41:59.851,21.1,101.9
2024-06-07 13:42:14.038,21.0,101.9
2024-06-07 13:42:28.762,21.0,101.9
2024-06-07 13:42:43.404,21.0,101.9
2024-06-07 13:42:57.941,21.0,101.9
2024-06-07 13:43:12.664,21.0,101.9
2024-06-07 13:43:27.430,21.0,101.9
2024-06-07 13:43:41.779,21.0,101.9
2024-06-07 13:43:56.914,21.0,101.9
2024-06-07 13:44:11.316,21.0,101.9
2024-06-07 13:44:26.010,21.0,101.9
2024-06-07 13:44:40.991,21.0,101.9
2024-06-07 13:44:55.354,20.9,101.9
2024-06-07 13:45:09.891,21.0,101.9
2024-06-07 13:45:24.385,20.9,101.9
2024-06-07 13:45:38.714,20.9,101.9
2024-06-07 13:45:53.161,20.9,101.9
2024-06-07 13:46:07.786,20.9,101.9
2024-06-07 13:46:22.789,20.9,101.9
2024-06-07 13:46:37.493,20.9,101.9
2024-06-07 13:46:51.807,20.8,101.9
2024-06-07 13:47:06.121,20.8,101.9
2024-06-07 13:47:20.837,20.7,101.9
2024-06-07 13:47:35.638,20.7,101.9
2024-06-07 13:47:50.286,20.8,101.9
2024-06-07 13:48:04.830,20.8,101.9
2024-06-07 13:48:19.226,20.9,101.9
2024-06-07 13:48:33.345,20.8,101.9
2024-06-07 13:48:47.324,20.7,101.9
2024-06-07 13:49:01.381,20.7,101.9
2024-06-07 13:49:15.901,20.7,101.9
2024-06-07 13:49:30.628,20.8,101.9
2024-06-07 13:49:45.308,20.8,101.9
2024-06-07 13:49:59.782,20.8,101.9
2024-06-07 13:50:13.912,20.8,101.9
2024-06-07 13:50:28.511,20.9,101.9
2024-06-07 13:50:42.767,20.9,101.9
2024-06-07 13:50:57.295,20.9,101.9
2024-06-07 13:51:11.408,21.0,101.9
2024-06-07 13:51:25.366,21.0,101.9
2024-06-07 13:51:39.321,20.9,101.9
2024-06-07 13:51:53.537,20.8,101.9
2024-06-07 13:52:07.280,20.8,101.9
