Time,Temperature (C),Pressure (kPa)
2024-06-10 13:21:04.993,25.4,100.1
2024-06-10 13:21:18.806,25.4,100.1
2024-06-10 13:21:32.317,25.3,100.1
2024-06-10 13:21:45.824,25.3,100.1
2024-06-10 13:21:59.779,25.4,100.1
2024-06-10 13:22:13.370,25.4,100.1
2024-06-10 13:22:26.818,25.4,100.1
2024-06-10 13:22:40.665,25.4,100.1
2024-06-10 13:22:54.360,25.4,100.1
2024-06-10 13:23:07.991,25.4,100.1
2024-06-10 13:23:21.888,25.4,100.1
2024-06-10 13:23:35.742,25.4,100.1
2024-06-10 13:23:49.442,25.4,100.1
2024-06-10 13:24:02.927,25.4,100.1
2024-06-10 13:24:16.601,25.4,100.1
2024-06-10 13:24:30.539,25.4,100.1
2024-06-10 13:24:44.459,25.4,100.1
2024-06-10 13:24:57.852,25.4,100.1
2024-06-10 13:25:11.416,25.4,100.1
2024-06-10 13:25:25.087,25.4,100.1
2024-06-10 13:25:38.755,25.4,100.1
2024-06-10 13:25:52.498,25.4,100.1
2024-06-10 13:26:06.019,25.4,100.1
2024-06-10 13:26:19.538,25.4,100.1
2024-06-10 13:26:32.952,25.4,100.1
2024-06-10 13:26:46.313,25.4,100.1
2024-06-10 13:27:00.114,25.4,100.1
2024-06-10 13:27:13.897,25.4,100.1
2024-06-10 13:27:27.487,25.4,100.1
2024-06-10 13:27:40.694,25.4,100.1
2024-06-10 13:27:54.500,25.4,100.1
2024-06-10 13:28:07.828,25.4,100.1
2024-06-10 13:28:21.404,25.4,100.1
2024-06-10 13:28:34.767,25.4,100.1
2024-06-10 13:28:48.012,25.4,100.1
2024-06-10 13:29:01.064,25.4,100.1
2024-06-10 13:29:14.326,25.4,100.1
2024-06-10 13:29:27.529,25.4,100.1
2024-06-10 13:29:40.893,25.4,100.1
2024-06-10 13:29:54.532,25.5,100.1
2024-06-10 13:30:08.016,25.5,100.1
2024-06-10 13:30:21.081,25.4,100.1
2024-06-10 13:30:34.341,25.5,100.1
2024-06-10 13:30:47.678,25.5,100.1
2024-06-10 13:31:01.187,25.4,100.1
2024-06-10 13:31:14.241,25.4,100.1
2024-06-10 13:31:27.762,25.4,100.1
2024-06-10 13:31:40.949,25.4,100.1
2024-06-10 13:31:54.180,25.4,100.1
2024-06-10 13:32:07.434,25.4,100.1
2024-06-10 13:32:20.838,25.4,100.1
2024-06-10 13:32:34.172,25.5,100.1
2024-06-10 13:32:47.374,25.4,100.1
2024-06-10 13:33:00.436,25.4,100.1
2024-06-10 13:33:13.445,25.4,100.1
2024-06-10 13:33:26.618,25.5,100.1
2024-06-10 13:33:39.566,25.5,100.1
2024-06-10 13:33:52.488,25.5,100.1
2024-06-10 13:34:05.730,25.5,100.1
2024-06-10 13:34:18.869,25.5,100.1
2024-06-10 13:34:32.028,25.5,100.1
2024-06-10 13:34:44.775,25.5,100.1
2024-06-10 13:34:57.818,25.5,100.1
2024-06-10 13:35:10.891,25.5,100.1
2024-06-10 13:35:23.984,25.6,100.1
2024-06-10 13:35:36.710,25.5,100.1
2024-06-10 13:35:49.390,25.5,100.1
2024-06-10 13:36:02.318,25.5,100.1
2024-06-10 13:36:15.241,25.5,100.1
2024-06-10 13:36:27.434,25.5,100.1
2024-06-10 13:36:40.142,25.5,100.1
2024-06-10 13:36:52.773,25.5,100.1
2024-06-10 13:37:05.620,25.5,100.1
2024-06-10 13:37:18.182,25.5,100.1
2024-06-10 13:37:30.757,25.5,100.1
2024-06-10 13:37:43.392,25.5,100.1
2024-06-10 13:37:56.063,25.5,100.1
2024-06-10 13:38:08.651,25.5,100.1
2024-06-10 13:38:21.296,25.5,100.1
2024-06-10 13:38:33.867,25.5,100.1
2024-06-10 13:38:46.336,25.5,100.1
2024-06-10 13:38:59.198,25.5,100.1
2024-06-10 13:39:11.748,25.5,100.1
2024-06-10 13:39:24.287,25.5,100.1
2024-06-10 13:39:36.663,25.5,100.1
2024-06-10 13:39:49.119,25.6,100.1
2024-06-10 13:40:01.551,25.6,100.1
2024-06-10 13:40:13.988,25.5,100.1
2024-06-10 13:40:26.313,25.6,100.1
2024-06-10 13:40:38.868,25.5,100.1
2024-06-10 13:40:51.399,25.5,100.1
2024-06-10 13:41:03.838,25.5,100.1
2024-06-10 13:41:16.255,25.5,100.1
2024-06-10 13:41:28.526,25.5,100.1
2024-06-10 13:41:40.703,25.5,100.1
2024-06-10 13:41:52.713,25.6,100.1
2024-06-10 13:42:04.912,25.5,100.1
2024-06-10 13:42:17.343,25.6,100.1
2024-06-10 13:42:29.629,25.5,100.1
2024-06-10 13:42:41.746,25.6,100.1
2024-06-10 13:42:53.819,25.6,100.1
2024-06-10 13:43:06.099,25.5,100.1
2024-06-10 13:43:18.285,25.5,100.1
2024-06-10 13:43:30.558,25.5,100.1
2024-06-10 13:43:42.608,25.5,100.1
2024-06-10 13:43:54.561,25.5,100.1
2024-06-10 13:44:06.657,25.5,100.1
2024-06-10 13:44:18.736,25.5,100.1
2024-06-10 13:44:30.868,25.5,100.1
2024-06-10 13:44:42.787,25.5,100.1
2024-06-10 13:44:54.820,25.5,100.1
2024-06-10 13:45:06.974,25.6,100.1
2024-06-10 13:45:18.638,25.5,100.1
2024-06-10 13:45:30.549,25.5,100.1
2024-06-10 13:45:42.510,25.5,100.1
2024-06-10 13:45:54.642,25.5,100.1
2024-06-10 13:46:06.737,25.5,100.1
2024-06-10 13:46:18.846,25.5,100.1
2024-06-10 13:46:31.183,25.5,100.1
2024-06-10 13:46:42.878,25.6,100.1
2024-06-10 13:46:54.822,25.6,100.1
2024-06-10 13:47:07.017,25.6,100.1
2024-06-10 13:47:18.737,25.6,100.1
2024-06-10 13:47:30.559,25.6,100.1
2024-06-10 13:47:42.558,25.6,100.1
2024-06-10 13:47:54.819,25.6,100.1
2024-06-10 13:48:07.015,25.5,100.1
2024-06-10 13:48:19.037,25.6,100.1
2024-06-10 13:48:30.884,25.6,100.1
2024-06-10 13:48:43.074,25.5,100.1
2024-06-10 13:48:54.800,25.5,100.1
2024-06-10 13:49:06.447,25.6,100.1
2024-06-10 13:49:18.279,25.6,100.1
2024-06-10 13:49:30.075,25.6,100.1
2024-06-10 13:49:41.839,25.6,100.1
2024-06-10 13:49:53.395,25.6,100.1
2024-06-10 13:50:05.280,25.6,100.1
2024-06-10 13:50:16.978,25.5,100.1
2024-06-10 13:50:28.973,25.5,100.1
2024-06-10 13:50:40.873,25.6,100.1
2024-06-10 13:50:52.800,25.6,100.1
2024-06-10 13:51:04.393,25.6,100.1
2024-06-10 13:51:16.129,25.6,100.1
2024-06-10 13:51:27.573,25.6,100.1
2024-06-10 13:51:39.397,25.6,100.1
2024-06-10 13:51:51.031,25.6,100.1
2024-06-10 13:52:02.751,25.6,100.1
2024-06-10 13:52:14.160,25.6,100.1
2024-06-10 13:52:25.870,25.5,100.1
2024-06-10 13:52:37.690,25.5,100.1
2024-06-10 13:52:49.482,25.5,100.1
2024-06-10 13:53:01.252,25.5,100.1
2024-06-10 13:53:12.614,25.5,100.1
2024-06-10 13:53:24.307,25.6,100.1
2024-06-10 13:53:35.897,25.6,100.1
2024-06-10 13:53:47.809,25.6,100.1
2024-06-10 13:53:59.180,25.6,100.1
2024-06-10 13:54:10.407,25.6,100.1
2024-06-10 13:54:22.035,25.6,100.1
2024-06-10 13:54:33.794,25.6,100.1
2024-06-10 13:54:45.601,25.6,100.1
2024-06-10 13:54:56.992,25.6,100.1
2024-06-10 13:55:08.582,25.6,100.1
2024-06-10 13:55:20.444,25.5,100.1
2024-06-10 13:55:32.196,25.5,100.1
2024-06-10 13:55:43.616,25.6,100.1
2024-06-10 13:55:55.056,25.6,100.1
2024-06-10 13:56:06.492,25.6,100.1
2024-06-10 13:56:18.564,25.6,100.1
2024-06-10 13:56:30.399,25.6,100.1
2024-06-10 13:56:41.983,25.6,100.1
2024-06-10 13:56:53.713,25.6,100.1
2024-06-10 13:57:05.236,25.6,100.1
2024-06-10 13:57:16.812,25.6,100.1
2024-06-10 13:57:28.170,25.6,100.1
2024-06-10 13:57:39.623,25.6,100.1
2024-06-10 13:57:51.336,25.6,100.1
2024-06-10 13:58:02.900,25.6,100.1
2024-06-10 13:58:14.638,25.6,100.1
2024-06-10 13:58:26.199,25.7,100.1
2024-06-10 13:58:37.184,25.7,100.1
2024-06-10 13:58:48.611,25.7,100.1
