U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.19V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;10.06.2024 15:33:12.628
40.00V;2.63V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:17.641
40.00V;2.82V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:22.644
40.00V;2.85V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:27.649
40.00V;2.89V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:32.642
40.00V;2.88V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:37.637
40.00V;2.85V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:42.643
40.00V;2.87V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:47.642
40.00V;2.87V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:52.635
40.00V;2.87V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:57.646
40.00V;2.88V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:02.666
40.00V;2.87V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:07.660
40.00V;2.87V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:12.659
40.00V;2.88V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:17.675
40.00V;2.91V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:22.696
40.00V;2.87V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:27.703
40.00V;2.88V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:32.726
40.00V;2.89V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:37.733
40.00V;2.89V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:42.743
40.00V;2.90V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:47.740
40.00V;2.90V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:52.746
40.00V;2.88V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:57.762
40.00V;2.91V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:02.778
40.00V;2.92V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:07.800
40.00V;2.92V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:12.809
40.00V;2.91V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:17.827
40.00V;2.90V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:22.841
40.00V;2.91V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:27.851
40.00V;2.92V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:32.860
40.00V;2.94V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:37.855
40.00V;2.94V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:42.860
40.00V;2.93V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:47.855
40.00V;2.94V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:52.861
40.00V;2.93V;0.100A;0.106A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:57.873
40.00V;2.95V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:02.887
40.00V;2.94V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:07.901
40.00V;2.94V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:12.894
40.00V;2.94V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:17.888
40.00V;2.95V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:22.901
40.00V;2.95V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:27.896
40.00V;2.95V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:32.909
40.00V;2.96V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:37.920
40.00V;2.98V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:42.945
40.00V;2.99V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:47.941
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:52.944
40.00V;2.97V;0.100A;0.106A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:57.942
40.00V;2.96V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:02.942
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:07.939
40.00V;2.94V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:12.955
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:17.967
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:22.986
40.00V;2.96V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:27.990
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:32.990
40.00V;2.96V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:37.983
40.00V;2.95V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:43.011
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:48.015
40.00V;2.99V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:53.015
40.00V;2.95V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:37:58.017
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:03.039
40.00V;2.97V;0.100A;0.106A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:08.032
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:13.054
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:18.064
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:23.065
40.00V;2.96V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:28.088
40.00V;2.99V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:33.098
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:38.104
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:43.117
40.00V;2.97V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:48.121
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:53.111
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:38:58.124
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:03.133
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:08.130
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:13.138
40.00V;3.02V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:18.153
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:23.167
40.00V;2.99V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:28.179
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:33.197
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:38.210
40.00V;2.99V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:43.202
40.00V;2.95V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:48.218
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:53.232
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:39:58.244
40.00V;2.99V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:03.246
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:08.251
40.00V;3.02V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:13.265
40.00V;2.96V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:18.286
40.00V;2.96V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:23.300
40.00V;2.98V;0.100A;0.106A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:28.295
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:33.310
40.00V;3.03V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:38.313
40.00V;3.01V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:43.322
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:48.324
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:53.332
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:40:58.330
40.00V;2.95V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:03.354
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:08.354
40.00V;3.02V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:13.355
40.00V;2.99V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:18.351
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:23.360
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:28.362
40.00V;3.00V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:33.382
40.00V;3.00V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:38.380
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:43.401
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:48.392
40.00V;3.01V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:53.406
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:41:58.406
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:03.413
40.00V;2.99V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:08.410
40.00V;2.99V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:13.413
40.00V;2.98V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:18.412
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:23.420
40.00V;3.01V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:28.420
40.00V;2.99V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:42:33.442
