"Type","Parameter Type","Date","Time","Operator ID","Probe Model","Probe SN","Method Name","Sample ID","Primary Reading Value","Primary Reading Units","Supp Reading 1","Supp Units 1","Supp Reading 2","Supp Units 2","Supp Reading 3","Supp Units 3","Reading Setting 1","Reading Setting 2","Reading Setting 3","Reading Setting 4","Reading Message 1","Reading Message 2","Reading Message 3","Reading Message 4","Check Std Value","Check Std Units","Check Std Graph","Check Std Status","Calibration Status","Cal Date","Cal Time","Cal Operator ID","Cal Slope Name","Cal Slope","Cal Slope Aux","Cal Slope Units","Cal Offset","Cal Offset Units","Cal r2","Cal Number Of Std's","Cal Std 1","Cal Std 1 Units","Cal Std 1 Primary Value","Cal Std 1 Primary Units","Cal Std 1 Supp Value","Cal Std 2","Cal Std 2 Units","Cal Std 2 Primary Value","Cal Std 2 Primary Units","Cal Std 2 Supp Value","Cal Std 3","Cal Std 3 Units","Cal Std 3 Primary Value","Cal Std 3 Primary Units","Cal Std 3 Supp Value","Cal Std 4","Cal Std 4 Units","Cal Std 4 Primary Value","Cal Std 4 Primary Units","Cal Std 4 Supp Value","Cal Std 5","Cal Std 5 Units","Cal Std 5 Primary Value","Cal Std 5 Primary Units","Cal Std 5 Supp Value","Cal Std 6","Cal Std 6 Units","Cal Std 6 Primary Value","Cal Std 6 Primary Units","Cal Std 6 Supp Value","Cal Std 7","Cal Std 7 Units","Cal Std 7 Primary Value","Cal Std 7 Primary Units","Cal Std 7 Supp Value","Cal Std Supp Units","Cal Message 1","Cal Message 2","Cal Message 3","Cal Message 4","Date/Time POSIX","Cal Date/Time POSIX","Meter SN","Measurement Stability","Measurement Mode",
RD,CD,11-Jun-2024,8:39:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59205),94.2,mS/cm,28.3,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718095199,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:38:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59204),94.2,mS/cm,28.3,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718095139,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:38:00,Default,CDC401,SN 231662582599,Edited,Sample ID (59203),94.2,mS/cm,28.3,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718095080,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:36:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59202),94.6,mS/cm,28.3,°C,101.0,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718095019,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:35:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59201),94.2,mS/cm,28.3,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094959,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:34:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59200),94.6,mS/cm,28.3,°C,101.0,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094899,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:33:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59199),94.2,mS/cm,28.3,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094839,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:32:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59198),94.2,mS/cm,28.3,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094779,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:31:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59197),94.2,mS/cm,28.4,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094719,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:31:00,Default,CDC401,SN 231662582599,Edited,Sample ID (59196),94.2,mS/cm,28.4,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094660,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:29:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59195),94.2,mS/cm,28.4,°C,100.6,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094599,1717513807,231992200025,,Interval,EndOfRecord
RD,CD,11-Jun-2024,8:28:59,Default,CDC401,SN 231662582599,Edited,Sample ID (59194),94.2,mS/cm,28.4,°C,100.7,mS/cm,,,NaCl/Non-Linear,Reference Temperature = 25 °C,,,,,,,,,,,OK,04-Jun-2024,15:10:07,Default,K,0.318,,cm⁻¹,,,,1,111800,µS/cm,105.9,mS/cm,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°C,,,,,1718094539,1717513807,231992200025,,Interval,EndOfRecord
