Time,Temperature (C),Pressure (kPa)
2026-04-02 14:44:27.963,23.3,100.9
2026-04-02 14:52:34.526,23.2,100.8
2026-04-02 14:58:11.170,23.2,100.8
2026-04-02 15:01:51.084,23.1,100.9
2026-04-02 15:05:35.024,23.1,100.8
2026-04-02 15:09:15.710,23.2,100.9
2026-04-02 15:13:04.099,23.1,100.9
2026-04-02 15:16:27.824,23.1,100.8
2026-04-02 15:18:13.566,23.2,100.8
2026-04-02 15:19:56.527,23.1,100.8
2026-04-02 15:21:46.136,23.1,100.8
2026-04-02 15:23:31.696,23.1,100.8
2026-04-02 15:25:16.262,23.1,100.8
2026-04-02 15:27:01.603,23.1,100.9
2026-04-02 15:28:49.214,23.1,100.9
2026-04-02 15:30:35.023,23.0,100.9
2026-04-02 15:32:23.773,23.0,100.9
2026-04-02 15:34:12.779,23.0,100.9
2026-04-02 15:35:58.033,23.1,100.9
2026-04-02 15:36:58.055,23.1,100.9
2026-04-02 15:37:56.293,23.0,100.9
2026-04-02 15:38:44.585,23.0,100.9
2026-04-02 15:39:39.545,23.0,100.9
2026-04-02 15:40:36.344,23.0,100.9
2026-04-02 15:41:28.450,23.0,100.9
2026-04-02 15:42:21.380,23.0,100.9
2026-04-02 15:43:17.449,23.0,100.9
2026-04-02 15:44:11.421,23.0,100.9
2026-04-02 15:45:05.327,23.0,100.9
2026-04-02 15:46:01.132,23.0,100.9
2026-04-02 15:46:54.090,23.0,100.9
2026-04-02 15:47:53.060,23.0,100.9
2026-04-02 15:48:46.768,23.0,100.9
2026-04-02 15:49:42.669,23.1,100.9
2026-04-02 15:50:39.431,23.0,100.9
2026-04-02 15:51:34.634,23.0,100.9
2026-04-02 15:52:32.142,23.0,100.9
2026-04-02 15:53:27.647,23.0,100.9
2026-04-02 15:54:21.790,23.0,100.9
2026-04-02 15:55:17.063,23.0,100.9
2026-04-02 15:56:12.294,23.1,100.9
2026-04-02 15:56:52.936,23.0,100.9
2026-04-02 15:57:27.408,23.0,100.9
2026-04-02 15:58:05.976,23.0,100.9
2026-04-02 15:58:44.462,23.0,100.9
2026-04-02 15:59:23.339,23.0,100.9
2026-04-02 15:59:56.275,23.0,100.9
2026-04-02 16:00:29.025,23.0,100.9
2026-04-02 16:01:09.599,23.0,100.9
2026-04-02 16:01:49.010,23.1,100.9
2026-04-02 16:02:24.404,23.0,100.9
2026-04-02 16:03:00.205,23.1,100.9
2026-04-02 16:03:36.798,23.0,100.9
2026-04-02 16:04:15.415,23.0,100.9
2026-04-02 16:04:50.563,23.0,100.9
2026-04-02 16:05:27.367,23.0,100.9
2026-04-02 16:06:03.661,23.0,100.9
2026-04-02 16:06:41.098,23.0,100.9
2026-04-02 16:07:18.758,23.0,100.9
2026-04-02 16:07:59.450,23.0,100.9
2026-04-02 16:08:38.645,23.0,100.9
2026-04-02 16:09:13.924,23.0,100.9
2026-04-02 16:09:51.392,23.0,100.9
2026-04-02 16:10:28.771,23.1,100.9
2026-04-02 16:11:06.864,23.0,100.9
2026-04-02 16:11:44.347,23.0,100.9
2026-04-02 16:12:20.557,23.0,100.9
2026-04-02 16:12:58.003,23.0,100.9
2026-04-02 16:13:36.941,23.0,100.9
2026-04-02 16:14:14.119,23.0,100.9
2026-04-02 16:14:50.332,23.0,100.9
2026-04-02 16:15:29.012,23.0,100.9
2026-04-02 16:16:09.320,23.0,100.9
2026-04-02 16:16:38.421,23.0,100.9
2026-04-02 16:17:04.377,23.0,100.9
2026-04-02 16:17:35.086,23.0,100.9
2026-04-02 16:17:59.900,23.0,100.9
2026-04-02 16:18:27.286,23.0,100.9
2026-04-02 16:18:51.027,23.0,100.9
2026-04-02 16:19:18.790,23.0,100.9
2026-04-02 16:19:49.999,23.0,100.9
2026-04-02 16:20:15.406,23.0,100.9
2026-04-02 16:20:43.518,23.0,100.9
2026-04-02 16:21:12.197,23.0,100.9
2026-04-02 16:21:40.892,23.0,100.9
2026-04-02 16:22:06.815,23.0,100.9
2026-04-02 16:22:33.958,23.0,100.9
2026-04-02 16:23:02.496,23.0,100.9
2026-04-02 16:23:33.639,23.0,100.9
2026-04-02 16:23:57.137,23.0,100.9
2026-04-02 16:24:27.515,23.0,100.9
2026-04-02 16:24:53.666,23.0,100.9
2026-04-02 16:25:24.241,23.0,100.9
2026-04-02 16:25:52.122,23.0,100.9
2026-04-02 16:26:18.490,23.0,100.9
2026-04-02 16:26:48.840,23.0,100.9
2026-04-02 16:27:12.649,23.0,100.9
2026-04-02 16:27:42.607,23.0,100.9
2026-04-02 16:28:11.299,23.0,100.9
2026-04-02 16:28:39.209,23.0,100.9
2026-04-02 16:29:09.001,23.0,100.9
2026-04-02 16:29:38.538,23.1,100.9
2026-04-02 16:30:07.934,23.1,100.9
2026-04-02 16:30:35.220,23.0,100.9
2026-04-02 16:31:06.326,23.0,100.9
2026-04-02 16:31:35.504,23.0,100.9
2026-04-02 16:32:05.736,23.0,100.9
2026-04-02 16:32:35.566,23.0,100.9
2026-04-02 16:33:05.561,23.0,100.9
2026-04-02 16:33:34.803,23.1,100.9
