Time,Temperature (C),Pressure (kPa)
2026-04-02 13:57:53.404,21.6,101.2
2026-04-02 13:58:00.461,21.6,101.2
2026-04-02 13:58:06.544,21.6,101.2
2026-04-02 13:58:12.899,21.6,101.2
2026-04-02 13:58:18.201,21.6,101.2
2026-04-02 13:58:24.249,21.6,101.2
2026-04-02 13:58:30.073,21.6,101.2
2026-04-02 13:58:35.644,21.6,101.2
2026-04-02 13:58:40.225,21.6,101.2
2026-04-02 13:58:43.817,21.6,101.2
2026-04-02 13:58:47.356,21.6,101.2
2026-04-02 13:58:50.703,21.6,101.2
2026-04-02 13:58:54.056,21.6,101.2
2026-04-02 13:58:57.551,21.6,101.2
2026-04-02 13:59:00.956,21.6,101.2
2026-04-02 13:59:04.248,21.6,101.2
2026-04-02 13:59:07.608,21.6,101.2
2026-04-02 13:59:10.874,21.6,101.2
2026-04-02 13:59:14.285,21.6,101.2
2026-04-02 13:59:17.514,21.6,101.2
2026-04-02 13:59:20.397,21.6,101.2
2026-04-02 13:59:22.712,21.6,101.2
2026-04-02 13:59:25.034,21.6,101.2
2026-04-02 13:59:27.817,21.6,101.2
2026-04-02 13:59:30.988,21.6,101.2
2026-04-02 13:59:34.099,21.6,101.2
2026-04-02 13:59:37.535,21.6,101.2
2026-04-02 13:59:40.764,21.6,101.2
2026-04-02 13:59:44.068,21.6,101.2
2026-04-02 13:59:47.559,21.6,101.2
2026-04-02 13:59:50.521,21.6,101.2
2026-04-02 13:59:54.010,21.6,101.2
2026-04-02 13:59:57.042,21.6,101.2
2026-04-02 14:00:00.110,21.6,101.2
2026-04-02 14:00:03.455,21.6,101.2
2026-04-02 14:00:06.674,21.6,101.2
2026-04-02 14:00:10.049,21.6,101.2
2026-04-02 14:00:13.571,21.6,101.2
2026-04-02 14:00:16.914,21.6,101.2
2026-04-02 14:00:20.264,21.6,101.2
2026-04-02 14:00:23.614,21.6,101.2
2026-04-02 14:00:26.113,21.6,101.2
2026-04-02 14:00:29.494,21.6,101.2
2026-04-02 14:00:32.409,21.6,101.2
2026-04-02 14:00:35.617,21.6,101.2
2026-04-02 14:00:39.431,21.6,101.2
2026-04-02 14:00:42.759,21.7,101.2
2026-04-02 14:00:46.551,21.6,101.2
2026-04-02 14:00:50.065,21.6,101.2
2026-04-02 14:00:53.799,21.6,101.2
2026-04-02 14:00:57.252,21.7,101.2
2026-04-02 14:01:00.457,21.6,101.2
2026-04-02 14:01:04.165,21.6,101.2
2026-04-02 14:01:07.981,21.7,101.2
2026-04-02 14:01:11.520,21.7,101.2
2026-04-02 14:01:14.647,21.7,101.2
2026-04-02 14:01:17.740,21.7,101.2
2026-04-02 14:01:21.201,21.7,101.2
2026-04-02 14:01:24.579,21.7,101.2
2026-04-02 14:01:28.046,21.7,101.2
2026-04-02 14:01:31.421,21.7,101.2
2026-04-02 14:01:34.500,21.7,101.2
2026-04-02 14:01:37.769,21.7,101.2
2026-04-02 14:01:41.107,21.7,101.2
2026-04-02 14:01:44.270,21.7,101.2
2026-04-02 14:01:47.452,21.7,101.2
2026-04-02 14:01:50.459,21.7,101.2
2026-04-02 14:01:53.847,21.7,101.2
2026-04-02 14:01:56.973,21.7,101.2
2026-04-02 14:02:00.168,21.7,101.2
