U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0,00V;0,00V;0,000A;0,000A;320,00W;0,00W;N/AR;N/A;N/A;On;CV;None;02-04-26 16:36
40,00V;2,11V;0,100A;0,102A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:36
40,00V;2,14V;0,100A;0,101A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:37
40,00V;2,15V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:37
40,00V;2,16V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:38
40,00V;2,17V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:38
40,00V;2,17V;0,100A;0,101A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:39
40,00V;2,19V;0,100A;0,102A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:39
40,00V;2,19V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:40
40,00V;2,20V;0,100A;0,102A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:40
40,00V;2,20V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:41
40,00V;2,20V;0,100A;0,102A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:41
40,00V;2,20V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:42
40,00V;2,21V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:42
40,00V;2,21V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:43
40,00V;2,22V;0,100A;0,102A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:43
40,00V;2,22V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:44
40,00V;2,23V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:44
40,00V;2,23V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:45
40,00V;2,23V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:45
40,00V;2,23V;0,100A;0,100A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:46
40,00V;2,24V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:46
40,00V;2,24V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:47
40,00V;2,24V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:47
40,00V;2,24V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:48
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:48
40,00V;2,24V;0,100A;0,102A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:49
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:49
40,00V;2,24V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:50
40,00V;2,25V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:50
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:51
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:51
40,00V;2,25V;0,100A;0,096A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:52
40,00V;2,26V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:52
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:53
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:53
40,00V;2,25V;0,100A;0,099A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:54
40,00V;2,26V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:54
40,00V;2,25V;0,100A;0,098A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:55
40,00V;2,26V;0,100A;0,101A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:55
40,00V;2,42V;0,250A;0,255A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:56
40,00V;2,53V;0,250A;0,249A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:56
40,00V;2,53V;0,250A;0,249A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:57
40,00V;2,53V;0,250A;0,253A;320,00W;0,64W;N/AR;N/A;N/A;On;CC;None;02-04-26 16:57
40,00V;2,54V;0,250A;0,249A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02/04/2026 16:58:21/004
40,00V;2,55V;0,250A;0,249A;320,00W;0,00W;N/AR;N/A;N/A;On;CC;None;02/04/2026 16:58:51/009
40,00V;2,55V;0,250A;0,251A;320,00W;0,64W;N/AR;N/A;N/A;On;CC;None;02/04/2026 16:59:21/014
