Type;Parameter Type;Date;Time;Operator ID;Probe Model;Probe SN;Method Name;Sample ID;Primary Reading Value;Primary Reading Units;Supp Reading 1;Supp Units 1;Supp Reading 2;Supp Units 2;Supp Reading 3;Supp Units 3;Reading Setting 1;Reading Setting 2;Reading Setting 3;Reading Setting 4;Reading Message 1;Reading Message 2;Reading Message 3;Reading Message 4;Check Std Value;Check Std Units;Check Std Graph;Check Std Status;Calibration Status;Cal Date;Cal Time;Cal Operator ID;Cal Slope Name;Cal Slope;Cal Slope Aux;Cal Slope Units;Cal Offset;Cal Offset Units;Cal r2;Cal Number Of Std's;Cal Std 1;Cal Std 1 Units;Cal Std 1 Primary Value;Cal Std 1 Primary Units;Cal Std 1 Supp Value;Cal Std 2;Cal Std 2 Units;Cal Std 2 Primary Value;Cal Std 2 Primary Units;Cal Std 2 Supp Value;Cal Std 3;Cal Std 3 Units;Cal Std 3 Primary Value;Cal Std 3 Primary Units;Cal Std 3 Supp Value;Cal Std 4;Cal Std 4 Units;Cal Std 4 Primary Value;Cal Std 4 Primary Units;Cal Std 4 Supp Value;Cal Std 5;Cal Std 5 Units;Cal Std 5 Primary Value;Cal Std 5 Primary Units;Cal Std 5 Supp Value;Cal Std 6;Cal Std 6 Units;Cal Std 6 Primary Value;Cal Std 6 Primary Units;Cal Std 6 Supp Value;Cal Std 7;Cal Std 7 Units;Cal Std 7 Primary Value;Cal Std 7 Primary Units;Cal Std 7 Supp Value;Cal Std Supp Units;Cal Message 1;Cal Message 2;Cal Message 3;Cal Message 4;Date/Time POSIX;Cal Date/Time POSIX;Meter SN;Measurement Stability;Measurement Mode;Column1
RD;pH;4/26/2024;10:52:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29247);2.908;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128723;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:52:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29247);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128723;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:51:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29246);2.909;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128664;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:51:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29246);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128664;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:50:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29245);2.909;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128604;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:50:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29245);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128604;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:49:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29244);2.909;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128544;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:49:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29244);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128544;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:48:05 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29243);2.909;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128485;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:48:05 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29243);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128485;1713539321;2.32E+11;;Interval;EndOfRecord
