U set;U ctul;I set;I ctul;P set;P ctul;R set;R ctul;R mode;Output/Input;Deice mode;Error;Time
0;0;0;0;320.00W;0.00W;N/;N/;N/;On;C;None;26/04/2024 14:02:02.644
40;3.63;0.1;0.111;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:07.645
40;3.62;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:12.644
40;3.65;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:17.645
40;3.66;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:22.644
40;3.63;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:27.644
40;3.63;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:32.644
40;3.63;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:37.644
40;3.62;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:42.644
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:47.644
40;3.64;0.1;0.115;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:52.644
40;3.63;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:02:57.644
40;3.61;0.1;0.114;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:02.644
40;3.63;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:07.644
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:12.644
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:17.644
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:22.644
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:27.644
40;3.61;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:32.644
40;3.62;0.1;0.121;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:37.644
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:42.644
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:47.644
40;3.6;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:52.643
40;3.59;0.1;0.121;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:03:57.643
40;3.62;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:02.643
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:07.643
40;3.61;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:12.643
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:17.643
40;3.57;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:22.643
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:27.643
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:32.643
40;3.63;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:37.643
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:42.643
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:47.643
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:52.643
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:04:57.643
40;3.58;0.1;0.12;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:02.643
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:07.643
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:12.643
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:17.643
40;3.62;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:22.643
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:27.643
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:32.643
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:37.643
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:42.643
40;3.54;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:47.642
40;3.57;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:52.642
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:05:57.642
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:02.642
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:07.642
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:12.642
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:17.642
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:22.642
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:27.642
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:32.642
40;3.61;0.1;0.111;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:37.642
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:42.642
40;3.56;0.1;0.115;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:47.642
40;3.55;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:52.642
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:06:57.642
40;3.59;0.1;0.115;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:02.642
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:07.642
40;3.61;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:12.642
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:17.642
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:22.642
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:27.642
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:32.642
40;3.63;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:37.641
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:42.641
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:47.641
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:52.641
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:07:57.641
40;3.59;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:08:02.641
40;3.6;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:08:07.641
40;3.56;0.1;0.112;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:08:12.641
