Time,Temperature (C),Pressure (kPa)
2024-05-08 10:57:57.400,18.2,102.9
2024-05-08 10:58:08.322,18.1,102.9
2024-05-08 10:58:19.057,18.2,102.9
2024-05-08 10:58:29.954,18.3,102.9
2024-05-08 10:58:39.786,18.3,102.9
2024-05-08 10:59:44.372,18.2,102.9
2024-05-08 10:59:54.355,18.1,102.9
2024-05-08 11:00:05.145,18.3,102.9
2024-05-08 11:00:13.638,18.3,102.9
2024-05-08 11:00:57.892,18.2,102.9
2024-05-08 11:01:08.920,18.2,102.9
2024-05-08 11:01:20.061,18.3,102.9
2024-05-08 11:01:30.937,18.2,102.9
2024-05-08 11:01:42.259,18.2,102.9
2024-05-08 11:01:53.464,18.2,102.9
2024-05-08 11:02:04.586,18.2,102.9
2024-05-08 11:02:15.559,18.2,102.9
2024-05-08 11:02:26.524,18.3,102.9
2024-05-08 11:02:37.793,18.2,102.9
2024-05-08 11:02:48.798,18.2,102.9
2024-05-08 11:02:59.888,18.3,102.9
2024-05-08 11:03:11.134,18.4,102.9
2024-05-08 11:03:22.091,18.3,102.9
2024-05-08 11:03:33.075,18.2,102.9
2024-05-08 11:03:44.140,18.2,102.9
2024-05-08 11:03:55.291,18.2,102.9
2024-05-08 11:04:06.299,18.2,102.9
2024-05-08 11:04:17.512,18.2,102.9
2024-05-08 11:04:28.753,18.3,102.9
2024-05-08 11:04:39.542,18.3,102.9
2024-05-08 11:04:50.713,18.2,102.9
2024-05-08 11:05:01.690,18.2,102.9
2024-05-08 11:05:12.755,18.3,102.9
2024-05-08 11:05:23.869,18.3,102.9
2024-05-08 11:05:35.067,18.3,102.9
2024-05-08 11:05:46.245,18.3,102.9
2024-05-08 11:05:57.272,18.3,102.9
2024-05-08 11:06:08.522,18.2,102.9
2024-05-08 11:06:19.480,18.2,102.9
2024-05-08 11:06:30.600,18.1,102.9
2024-05-08 11:06:41.871,18.2,102.9
2024-05-08 11:06:53.148,18.1,102.9
2024-05-08 11:07:04.428,18.3,102.9
2024-05-08 11:07:15.508,18.3,102.9
2024-05-08 11:07:26.932,18.3,102.9
2024-05-08 11:07:38.013,18.2,102.9
2024-05-08 11:07:49.457,18.2,102.9
2024-05-08 11:08:00.523,18.3,102.9
2024-05-08 11:08:11.761,18.3,102.9
2024-05-08 11:08:22.700,18.2,102.9
2024-05-08 11:08:34.166,18.2,102.9
2024-05-08 11:08:45.435,18.2,102.9
2024-05-08 11:08:56.312,18.2,102.9
2024-05-08 11:09:07.148,18.2,102.9
2024-05-08 11:09:18.515,18.2,102.9
2024-05-08 11:09:29.750,18.2,102.9
2024-05-08 11:09:40.805,18.2,102.9
2024-05-08 11:09:51.916,18.2,102.9
2024-05-08 11:10:03.021,18.1,102.9
2024-05-08 11:10:14.243,18.2,102.9
2024-05-08 11:10:25.229,18.2,102.9
2024-05-08 11:10:36.365,18.2,102.9
2024-05-08 11:10:47.496,18.3,102.9
2024-05-08 11:10:58.585,18.3,102.9
2024-05-08 11:11:09.487,18.3,102.9
2024-05-08 11:11:20.864,18.3,102.9
2024-05-08 11:11:32.038,18.2,102.9
2024-05-08 11:11:43.010,18.2,102.9
2024-05-08 11:11:54.135,18.2,102.9
2024-05-08 11:12:05.505,18.3,102.9
2024-05-08 11:12:16.957,18.2,102.9
2024-05-08 11:12:28.046,18.2,102.9
2024-05-08 11:12:39.155,18.2,102.9
2024-05-08 11:12:50.059,18.2,102.9
2024-05-08 11:13:01.258,18.2,102.9
2024-05-08 11:13:11.954,18.3,102.9
2024-05-08 11:13:22.991,18.3,102.9
2024-05-08 11:13:34.081,18.2,102.9
2024-05-08 11:13:45.075,18.2,102.9
2024-05-08 11:13:56.309,18.4,102.9
2024-05-08 11:14:07.735,18.3,102.9
2024-05-08 11:14:18.749,18.3,102.9
2024-05-08 11:14:29.870,18.2,102.9
2024-05-08 11:14:40.850,18.1,102.9
2024-05-08 11:14:51.821,18.2,102.9
2024-05-08 11:15:02.936,18.3,102.9
2024-05-08 11:15:13.810,18.2,102.9
2024-05-08 11:15:24.948,18.2,102.9
2024-05-08 11:15:35.794,18.2,102.9
2024-05-08 11:15:46.881,18.2,102.9
2024-05-08 11:15:57.917,18.2,102.9
2024-05-08 11:16:09.276,18.2,102.9
2024-05-08 11:16:20.353,18.2,102.9
2024-05-08 11:16:31.229,18.2,102.9
2024-05-08 11:16:42.372,18.1,102.9
2024-05-08 11:16:53.247,18.2,102.9
2024-05-08 11:17:04.300,18.0,102.9
2024-05-08 11:17:15.770,18.1,102.9
2024-05-08 11:17:26.482,18.2,102.9
2024-05-08 11:17:37.543,18.1,102.9
2024-05-08 11:17:48.905,18.2,102.9
2024-05-08 11:17:59.838,18.2,102.9
2024-05-08 11:18:10.840,18.2,102.9
2024-05-08 11:18:21.896,18.1,102.9
2024-05-08 11:18:32.720,18.2,102.9
2024-05-08 11:18:43.910,18.2,102.9
2024-05-08 11:18:54.840,18.1,102.9
2024-05-08 11:19:05.880,18.1,102.9
2024-05-08 11:19:16.732,18.0,102.9
2024-05-08 11:19:27.813,18.1,102.9
2024-05-08 11:19:39.034,18.1,102.9
2024-05-08 11:19:50.204,18.1,102.9
2024-05-08 11:20:01.237,18.1,102.9
2024-05-08 11:20:12.361,18.0,102.9
2024-05-08 11:20:23.162,18.0,102.9
2024-05-08 11:20:34.334,18.1,102.9
2024-05-08 11:20:45.516,18.1,102.9
2024-05-08 11:20:56.518,18.1,102.9
2024-05-08 11:21:07.623,18.1,102.9
2024-05-08 11:21:18.660,18.0,102.9
2024-05-08 11:21:29.822,18.0,102.9
2024-05-08 11:21:40.754,18.1,102.9
2024-05-08 11:21:51.749,18.1,102.9
2024-05-08 11:22:02.700,18.1,102.9
2024-05-08 11:22:13.680,18.0,102.9
2024-05-08 11:22:24.803,18.0,102.9
2024-05-08 11:22:35.513,18.0,102.9
2024-05-08 11:22:46.509,18.1,102.9
2024-05-08 11:22:57.301,18.0,102.9
2024-05-08 11:23:08.153,18.0,102.9
2024-05-08 11:23:19.210,18.0,102.9
2024-05-08 11:23:30.217,18.0,102.9
2024-05-08 11:23:41.163,18.0,102.9
2024-05-08 11:23:52.224,18.1,102.9
2024-05-08 11:24:03.142,18.0,102.9
2024-05-08 11:24:14.185,17.9,102.9
2024-05-08 11:24:25.352,18.0,102.9
2024-05-08 11:24:36.348,18.0,102.9
2024-05-08 11:24:47.170,18.0,102.9
2024-05-08 11:24:58.187,18.0,102.9
2024-05-08 11:25:09.208,18.1,102.9
2024-05-08 11:25:20.187,18.1,102.9
2024-05-08 11:25:30.889,18.1,102.9
2024-05-08 11:25:41.559,18.0,102.9
2024-05-08 11:25:52.466,18.0,102.9
2024-05-08 11:26:03.494,17.9,102.9
2024-05-08 11:26:14.232,17.9,102.9
2024-05-08 11:26:24.981,18.1,102.9
2024-05-08 11:26:35.847,18.1,102.9
2024-05-08 11:26:46.706,18.1,102.9
2024-05-08 11:26:57.766,18.0,102.9
2024-05-08 11:27:08.912,17.9,102.9
2024-05-08 11:27:19.988,18.0,102.9
2024-05-08 11:27:30.546,17.8,102.9
2024-05-08 11:27:41.346,18.1,102.9
2024-05-08 11:27:52.181,18.1,102.9
2024-05-08 11:28:02.984,18.0,102.9
2024-05-08 11:28:14.081,18.1,102.9
2024-05-08 11:28:24.698,18.0,102.9
2024-05-08 11:28:35.728,17.9,102.9
2024-05-08 11:28:46.837,17.9,102.9
2024-05-08 11:28:57.813,18.0,102.9
2024-05-08 11:29:08.579,17.9,102.9
2024-05-08 11:29:19.339,18.0,102.9
2024-05-08 11:29:30.115,17.9,102.9
2024-05-08 11:29:40.806,17.9,102.9
2024-05-08 11:29:51.665,18.0,102.9
2024-05-08 11:30:02.548,18.0,102.9
2024-05-08 11:30:13.361,18.0,102.9
2024-05-08 11:30:24.429,18.0,102.9
2024-05-08 11:30:35.504,17.9,102.9
2024-05-08 11:30:46.255,18.0,102.9
2024-05-08 11:30:57.211,17.9,102.9
2024-05-08 11:31:08.450,17.9,102.9
2024-05-08 11:31:19.073,17.9,102.9
2024-05-08 11:31:29.714,18.0,102.9
2024-05-08 11:31:40.799,18.0,102.9
2024-05-08 11:31:51.805,18.0,102.9
2024-05-08 11:32:02.663,18.0,102.9
2024-05-08 11:32:13.477,17.9,102.9
2024-05-08 11:32:24.355,17.9,102.9
2024-05-08 11:32:35.232,17.8,102.9
2024-05-08 11:32:45.720,17.7,102.9
2024-05-08 11:32:56.359,17.8,102.9
2024-05-08 11:33:07.343,17.9,102.9
2024-05-08 11:33:18.454,17.9,102.9
2024-05-08 11:33:29.135,18.0,102.9
2024-05-08 11:33:39.821,18.0,102.9
2024-05-08 11:33:50.689,17.9,102.9
2024-05-08 11:34:01.692,17.9,102.9
2024-05-08 11:34:12.382,17.8,102.9
2024-05-08 11:34:23.242,17.8,102.9
2024-05-08 11:34:33.978,17.7,102.9
2024-05-08 11:34:44.786,17.8,102.9
2024-05-08 11:34:55.568,17.9,102.9
2024-05-08 11:35:06.324,17.8,102.9
2024-05-08 11:35:17.188,17.8,102.9
2024-05-08 11:35:28.269,17.9,102.9
2024-05-08 11:35:38.938,17.9,102.9
2024-05-08 11:35:49.793,17.9,102.9
2024-05-08 11:36:00.844,17.9,102.9
2024-05-08 11:36:11.769,17.8,102.9
2024-05-08 11:36:22.396,17.8,102.9
2024-05-08 11:36:32.760,17.9,102.9
2024-05-08 11:36:43.645,17.9,102.9
2024-05-08 11:36:54.478,17.8,102.9
2024-05-08 11:37:05.238,17.7,102.9
2024-05-08 11:37:16.059,17.9,102.9
2024-05-08 11:37:26.720,17.8,102.9
2024-05-08 11:37:37.439,17.8,102.9
2024-05-08 11:37:48.252,17.8,102.9
2024-05-08 11:37:59.107,17.8,102.9
2024-05-08 11:38:09.706,17.8,102.9
2024-05-08 11:38:20.610,17.9,102.9
2024-05-08 11:38:31.311,17.9,102.9
2024-05-08 11:38:42.116,17.9,102.9
2024-05-08 11:38:52.797,17.9,102.9
2024-05-08 11:39:03.571,17.8,102.9
2024-05-08 11:39:14.211,17.7,102.9
2024-05-08 11:39:24.826,17.8,102.9
2024-05-08 11:39:35.601,17.9,102.9
2024-05-08 11:39:46.514,17.9,102.9
2024-05-08 11:39:57.284,17.8,102.9
2024-05-08 11:40:07.957,17.9,102.9
2024-05-08 11:40:18.746,17.8,102.9
2024-05-08 11:40:29.383,17.8,102.9
2024-05-08 11:40:40.515,17.8,102.9
2024-05-08 11:40:50.953,17.8,102.9
2024-05-08 11:41:01.684,17.7,102.9
2024-05-08 11:41:12.366,17.7,102.9
2024-05-08 11:41:23.015,17.7,102.9
2024-05-08 11:41:33.673,17.8,102.9
2024-05-08 11:41:44.092,17.8,102.9
2024-05-08 11:41:54.677,17.8,102.9
2024-05-08 11:42:05.349,17.8,102.9
2024-05-08 11:42:15.754,17.8,102.9
2024-05-08 11:42:26.276,17.9,102.9
2024-05-08 11:42:37.217,17.9,102.9
2024-05-08 11:42:47.715,17.9,102.9
2024-05-08 11:42:58.206,18.0,102.9
2024-05-08 11:43:08.698,17.9,102.9
2024-05-08 11:43:19.520,17.9,102.9
2024-05-08 11:43:30.275,17.8,102.9
2024-05-08 11:43:41.159,17.8,102.9
2024-05-08 11:43:51.989,17.8,102.9
2024-05-08 11:44:02.755,17.8,102.9
2024-05-08 11:44:13.599,17.9,102.9
2024-05-08 11:44:23.967,17.8,102.9
2024-05-08 11:44:34.513,17.8,102.9
2024-05-08 11:44:45.189,17.9,102.9
2024-05-08 11:44:55.536,17.8,102.9
2024-05-08 11:45:06.303,17.8,102.9
2024-05-08 11:45:16.824,17.7,102.9
2024-05-08 11:45:27.472,17.7,102.9
2024-05-08 11:45:37.802,17.8,102.9
2024-05-08 11:45:48.689,17.8,102.9
2024-05-08 11:45:59.304,17.7,102.9
2024-05-08 11:46:09.884,17.6,102.9
2024-05-08 11:46:20.722,17.7,102.9
2024-05-08 11:46:31.270,17.8,102.9
2024-05-08 11:46:41.790,17.8,102.9
2024-05-08 11:46:52.496,17.8,102.9
2024-05-08 11:47:03.143,17.7,102.9
2024-05-08 11:47:13.810,17.8,102.9
2024-05-08 11:47:24.443,17.7,102.9
2024-05-08 11:47:35.146,17.7,102.9
2024-05-08 11:47:45.786,17.7,102.9
2024-05-08 11:47:56.207,17.8,102.9
2024-05-08 11:48:06.775,17.8,102.9
2024-05-08 11:48:17.745,17.8,102.9
2024-05-08 11:48:28.605,17.6,102.9
2024-05-08 11:48:38.938,17.7,102.9
2024-05-08 11:48:49.576,17.8,102.9
2024-05-08 11:49:00.098,17.8,102.9
2024-05-08 11:49:11.017,17.8,102.9
2024-05-08 11:49:21.654,17.7,102.9
2024-05-08 11:49:32.217,17.6,102.9
2024-05-08 11:49:42.805,17.6,102.9
2024-05-08 11:49:53.266,17.8,102.9
2024-05-08 11:50:03.702,17.9,102.9
2024-05-08 11:50:14.172,17.8,102.9
2024-05-08 11:50:24.895,17.8,102.9
2024-05-08 11:50:35.745,17.8,102.9
2024-05-08 11:50:46.109,17.8,102.9
2024-05-08 11:50:56.347,17.7,102.9
2024-05-08 11:51:06.891,17.8,102.9
2024-05-08 11:51:17.483,17.7,102.9
2024-05-08 11:51:28.147,17.7,102.9
2024-05-08 11:51:38.656,17.7,102.9
2024-05-08 11:51:49.235,17.8,102.9
2024-05-08 11:51:59.786,17.8,102.9
2024-05-08 11:52:10.044,17.9,102.9
2024-05-08 11:52:20.448,17.8,102.9
2024-05-08 11:52:31.005,17.7,102.9
2024-05-08 11:52:41.514,17.7,102.9
2024-05-08 11:52:52.010,17.7,102.9
2024-05-08 11:53:02.712,17.7,102.9
2024-05-08 11:53:13.358,17.8,102.9
2024-05-08 11:53:23.742,17.8,102.9
2024-05-08 11:53:34.366,17.7,102.9
2024-05-08 11:53:45.025,17.7,102.9
2024-05-08 11:53:55.764,17.7,102.9
2024-05-08 11:54:06.279,17.8,102.9
2024-05-08 11:54:16.893,17.7,102.9
2024-05-08 11:54:27.485,17.8,102.9
2024-05-08 11:54:38.096,17.8,102.9
2024-05-08 11:54:48.447,17.7,102.9
2024-05-08 11:54:58.999,17.7,102.9
2024-05-08 11:55:09.281,17.6,102.9
2024-05-08 11:55:19.904,17.6,102.9
2024-05-08 11:55:30.408,17.7,102.9
2024-05-08 11:55:41.040,17.6,102.9
2024-05-08 11:55:51.728,17.6,102.9
2024-05-08 11:56:02.053,17.7,102.9
2024-05-08 11:56:12.486,17.7,102.9
2024-05-08 11:56:23.120,17.8,102.9
2024-05-08 11:56:33.466,17.7,102.9
2024-05-08 11:56:44.243,17.7,102.9
2024-05-08 11:56:54.698,17.6,102.9
2024-05-08 11:57:05.073,17.6,102.9
2024-05-08 11:57:15.433,17.7,102.9
2024-05-08 11:57:25.806,17.6,102.9
2024-05-08 11:57:36.406,17.7,102.9
2024-05-08 11:57:46.713,17.8,102.9
2024-05-08 11:57:57.049,17.7,102.9
2024-05-08 11:58:07.348,17.6,102.9
2024-05-08 11:58:17.920,17.7,102.9
2024-05-08 11:58:28.614,17.7,102.9
2024-05-08 11:58:39.117,17.8,102.9
2024-05-08 11:58:49.205,17.8,102.9
2024-05-08 11:58:59.481,17.8,102.9
2024-05-08 11:59:10.050,17.8,102.9
2024-05-08 11:59:20.499,17.7,102.9
2024-05-08 11:59:30.785,17.7,102.9
2024-05-08 11:59:41.193,17.7,102.9
2024-05-08 11:59:51.756,17.7,102.9
2024-05-08 12:00:02.311,17.6,102.9
2024-05-08 12:00:13.006,17.7,102.9
2024-05-08 12:00:23.848,17.6,102.9
2024-05-08 12:00:33.972,17.7,102.9
2024-05-08 12:00:44.488,17.7,102.9
2024-05-08 12:00:54.814,17.8,102.9
2024-05-08 12:01:05.408,17.7,102.9
2024-05-08 12:01:15.919,17.8,102.9
2024-05-08 12:01:26.589,17.8,102.9
2024-05-08 12:01:36.872,17.8,102.9
2024-05-08 12:01:47.285,17.7,102.9
2024-05-08 12:01:57.715,17.7,102.9
2024-05-08 12:02:08.172,17.7,102.9
2024-05-08 12:02:18.550,17.7,102.9
2024-05-08 12:02:28.792,17.8,102.9
2024-05-08 12:02:38.923,17.7,102.9
2024-05-08 12:02:49.251,17.8,102.9
2024-05-08 12:02:59.725,17.7,102.9
2024-05-08 12:03:10.020,17.8,102.9
2024-05-08 12:03:20.202,17.8,102.9
2024-05-08 12:03:30.749,17.7,102.9
2024-05-08 12:03:41.040,17.8,102.9
2024-05-08 12:03:51.236,17.8,102.9
2024-05-08 12:04:01.544,17.8,102.9
2024-05-08 12:04:11.987,17.9,102.9
2024-05-08 12:04:22.514,17.7,102.9
2024-05-08 12:04:32.896,17.6,102.9
2024-05-08 12:04:43.579,17.6,102.9
2024-05-08 12:04:54.014,17.6,102.9
2024-05-08 12:05:04.646,17.6,102.9
2024-05-08 12:05:14.866,17.7,102.9
2024-05-08 12:05:25.233,17.7,102.9
2024-05-08 12:05:35.698,17.8,102.9
2024-05-08 12:05:46.047,17.8,102.9
2024-05-08 12:05:56.434,17.8,102.9
2024-05-08 12:06:06.939,17.7,102.9
2024-05-08 12:06:17.571,17.7,102.9
2024-05-08 12:06:28.017,17.6,102.9
2024-05-08 12:06:38.154,17.6,102.9
2024-05-08 12:06:48.429,17.7,102.9
2024-05-08 12:06:58.647,17.7,102.9
2024-05-08 12:07:09.274,17.6,102.9
2024-05-08 12:07:19.808,17.7,102.9
2024-05-08 12:07:30.115,17.8,102.9
2024-05-08 12:07:40.544,17.8,102.9
2024-05-08 12:07:51.120,17.7,102.9
2024-05-08 12:08:01.447,17.7,102.9
2024-05-08 12:08:11.706,17.6,102.9
2024-05-08 12:08:22.246,17.7,102.9
2024-05-08 12:08:32.471,17.7,102.9
2024-05-08 12:08:42.677,17.7,102.9
2024-05-08 12:08:53.185,17.7,102.9
2024-05-08 12:09:03.374,17.8,102.9
2024-05-08 12:09:13.756,17.8,102.9
2024-05-08 12:09:23.943,17.7,102.9
2024-05-08 12:09:34.108,17.8,102.9
2024-05-08 12:09:44.373,17.7,102.9
2024-05-08 12:09:54.936,17.7,102.9
2024-05-08 12:10:05.406,17.7,102.9
2024-05-08 12:10:15.945,17.8,102.9
2024-05-08 12:10:26.368,17.9,102.9
2024-05-08 12:10:36.772,17.7,102.9
2024-05-08 12:10:47.212,17.8,102.9
2024-05-08 12:10:57.091,17.8,102.9
2024-05-08 12:11:07.571,17.9,102.9
2024-05-08 12:11:17.765,17.8,102.9
2024-05-08 12:11:27.996,17.8,102.9
2024-05-08 12:11:38.292,17.9,102.9
2024-05-08 12:11:48.485,17.9,102.9
2024-05-08 12:11:58.935,17.9,102.9
2024-05-08 12:12:09.445,17.8,102.9
2024-05-08 12:12:19.745,17.6,102.9
2024-05-08 12:12:29.962,17.7,102.9
2024-05-08 12:12:39.966,17.8,102.9
2024-05-08 12:12:50.394,17.8,102.9
2024-05-08 12:13:00.416,17.9,102.9
2024-05-08 12:13:10.583,17.9,102.9
2024-05-08 12:13:20.942,17.9,102.9
2024-05-08 12:13:31.570,17.8,102.9
2024-05-08 12:13:41.869,17.8,102.9
2024-05-08 12:13:52.076,17.8,102.9
2024-05-08 12:14:02.022,17.7,102.9
2024-05-08 12:14:12.421,17.8,102.9
2024-05-08 12:14:22.976,17.8,102.9
2024-05-08 12:14:33.423,17.8,102.9
2024-05-08 12:14:43.871,17.8,102.9
2024-05-08 12:14:54.323,17.8,102.9
2024-05-08 12:15:04.763,17.7,102.9
2024-05-08 12:15:15.214,17.8,102.9
2024-05-08 12:15:25.734,17.8,102.9
2024-05-08 12:15:35.941,17.8,102.9
2024-05-08 12:15:46.276,17.7,102.9
2024-05-08 12:15:56.374,17.7,102.9
2024-05-08 12:16:06.797,17.7,102.9
2024-05-08 12:16:16.964,17.8,102.9
2024-05-08 12:16:27.434,17.7,102.9
2024-05-08 12:16:37.666,17.7,102.9
2024-05-08 12:16:47.869,17.7,102.9
2024-05-08 12:16:58.019,17.8,102.9
2024-05-08 12:17:08.209,17.8,102.9
