U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.20V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;13.05.2024 16:24:21.585
40.00V;3.08V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:26.584
40.00V;3.15V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:31.583
40.00V;3.19V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:36.588
40.00V;3.19V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:41.579
40.00V;3.18V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:46.589
40.00V;3.20V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:51.584
40.00V;3.19V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:56.580
40.00V;3.12V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:01.583
40.00V;3.16V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:06.604
40.00V;3.16V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:11.599
40.00V;3.16V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:16.602
40.00V;3.20V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:21.619
40.00V;3.14V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:26.631
40.00V;3.11V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:31.637
40.00V;3.15V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:36.650
40.00V;3.14V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:41.660
40.00V;3.14V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:46.683
40.00V;3.12V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:51.678
40.00V;3.13V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:56.672
40.00V;3.17V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:01.689
40.00V;3.13V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:06.703
